Freq,Word
1,აანთებ
1,ააშენე
26,აბა
1,აგიხსნი
2,ადამიანები
1,ადამიანის
1,ადამიანს
1,ადიდებს
5,ადრე
1,ავაშენებთ
1,ავაშენოთ
1,ავაშენოო
1,ავიღოთ
1,ათას
43,აი
1,აკეთებენ
9,აკეთებს
1,აკეთებ
1,ალო
4,ამას
1,ამბავი
2,ამით
10,ამ
1,ანბანით
1,ანბანი
1,ანთებდნენ
2,ანუ
1,ან
1,არავის
21,არა
1,არბალეტია
1,არიან
57,არის
2,არსად
12,არ
1,ასანთები
1,ასანთი
3,ასეთი
4,ასე
1,ატკენინო
3,აფრინდება
1,აფრინდეს
1,აქედანაც
4,აქედან
10,აქვს
26,აქ
1,აღარ
1,აწერია
1,აწიე
21,ახლა
1,ახლოს
1,ახტა
18,აჰა
1,ბაგირი
3,ბავშვი
1,ბასრი
1,ბატარეა
3,ბებია
1,ბებიიისნაირი
1,ბევრად
1,ბევრჯერ
1,ბევრ
1,ბეწვი
1,ბიჭუნამ
2,ბოდიში
2,ბოლი
1,ბოლოში
1,ბოლს
1,ბორბლებით
1,ბრტყელი
2,ბურთივით
2,გააკეთა
2,გააკეთოს
1,გააკეთო
2,გააფუჭებ
1,გააღებს
3,გააღე
1,გაგვიფუჭდეს
1,გადავდგამ
1,გადავედით
1,გადავრთე
1,გადავშალოთ
1,გადამიარა
1,გადართავ
1,გადაღებული
2,გადაშალე
1,გადმოვრთე
1,გავაკეთოთ
1,გავაკეთო
1,გავიარეთ
1,გავიგე
1,გავუშვით
1,გავშალო
1,გათბება
1,გაიგე
1,გამოდის
1,გამოვიდეს
3,გამოიგონეს
1,გამოირთო
2,გამორთე
2,გამოჭიმე
1,გარდამავალი
1,გარედან
1,გარეთ
1,გარშემო
1,გატეხილი
1,გატეხილს
2,გაუგზავნო
2,გაუშვი
1,გაფუჭდება
1,გაქვს
1,გაღუნავ
2,გაჩერდი
1,გაჩერებულია
1,გაჩვენებ
1,გაცხელდა
1,გაწიე
1,გახდება
2,გახსენი
5,გახსოვს
1,გესროლა
1,გეჭირა
1,გვაქვს
1,გვინდა
1,გვყავს
1,გვჭირდება
1,გთხოვს
1,გითხრა
4,გინდა
1,გიღებენ
1,გიყვარს
1,გიყვებოდი
1,გიჭირავს
4,გრძელი
1,გრძელ
1,გულზე
1,გულისცემას
3,გული
1,გყავდა
1,გჭირდება
1,დაათვალიერეს
1,დაანთოს
1,დაგადებენ
2,დაგირეკავთ
1,დაგისვამ
1,დაგრჩა
1,დადებ
4,დადის
1,დავათვალიერეთ
1,დავათვალიეროთ
1,დავახუროთ
1,დავდოთ
1,დავუშვით
2,დაინახავ
2,დაისხა
1,დაიფარე
1,დაიჭერენ
2,დაიჭერს
2,დაიჭირე
1,დაკეტო
1,დალიე
1,დანასავით
1,დასაკრავი
1,დასანთებად
1,დაურეკო
1,დაუძახე
1,დაჭიმე
41,და
1,დგას
1,დგუპ
1,დედამიწაზე
1,დედამიწაო
1,დედამიწას
4,დედამიწა
44,დედა
1,დედიკომ
6,დედიკო
1,დევს
1,დეტალებს
1,დე
1,დიდად
1,დიდია
