Freq,Word
1,აგე
1,ავიღებ
4,ავიღოთ
1,აიღე
14,აი
1,ამას
2,ამ
2,არაა
10,არა
2,არის
14,არ
1,ასეთი
1,ასე
1,აქედან
1,აქეთ
14,აქ
1,აღარ
1,ახალი
10,ახლა
2,აჰა
1,ბალახებიც
2,ბალახები
1,ბალახებს
1,ბებიას
1,ბებია
1,ბევრი
1,ბიჭი
1,გააჩერო
1,გადავშალოთ
1,გადავხაზო
1,გადის
1,გადმოდე
3,გავაკეთე
1,გავაკეთოთ
3,გავაკეთო
1,გავაფერადე
1,გავუკეთე
1,გავუკეთოთ
4,გავუკეთო
1,გავცვალოთ
1,გავხსენი
1,გათენებულია
1,გამიკეთებია
3,გამიკეთე
1,გამიცვალე
1,გამოგვივიდა
1,გამოვიღოთ
1,გაუშვი
1,გაქვს
1,გაჩერდა
1,გაჩერდეთ
1,გაჩერდი
1,გაწიეთ
1,გაწიე
2,გახსენი
1,გოგოს
1,გოგო
1,დადე
1,დავადე
4,დავხატავ
4,დავხატე
2,დავხატოთ
4,დავხატო
1,დამესვრება
7,დამიხატე
1,დაძინების
21,და
1,დაk
1,დებილობა
1,დედას
5,დედა
3,დედიკო
3,დედი
4,დე
6,დიდი
2,დიდ
1,დროა
5,ეგ
1,ერთი
6,ესაა
1,ესა
1,ესეც
24,ეს
5,ვერ
1,ვიცი
1,ვხატავ
1,თავი
1,თავს
1,თეთრი
1,იმას
1,ისაk
2,ის
1,იცი
2,იხატება
2,კარგად
5,კარგი
1,კარები
2,კარი
1,კიბეც
2,კიდევ
10,კი
1,კომპიუტერი
1,კომპიუტერს
2,ლურჯი
7,მაგრამ
1,მამას
1,მანქანები
3,მაქვს
1,მაშინ
1,მგონი
3,მეორე
3,მერე
6,მეც
23,მე
2,მზეა
2,მზეს
12,მზე
1,მზისთვის
1,მთვარეა
2,მთვარე
1,მთლიანი
2,მივწვდები
1,მიმიწიე
27,მინდა
1,მიწაა
1,მიწებებულია
1,მოდი
1,მოვაშოროთ
1,მოვაშორო
2,მოიცადე
5,მომეცი
1,მომწონს
1,მუშაობს
1,მწვანედ
9,მწვანე
4,მჭირდება
1,ნათურა
1,ნათურები
2,ნაძვის
7,ნახე
3,ნწუ
3,ორი
1,ოღონდ
1,პატარაა
1,პაწაწუკუნა
1,რამხელა
1,რას
4,რა
1,როგორ
3,რომ
1,სადაც
1,სადღაც
1,სად
1,სათამაშოები
2,სამი
3,საღებავი
2,საღებავს
1,საყვარელი
1,სახლია
3,სახლი
1,სახურავი
3,სულ
1,ტოტები
1,უკვე
1,ულვაში
15,უნდა
2,უფრო
1,უ
3,ფანჯარა
1,ფანჯრები
1,ფერად-ფერადზე
2,ფერად-ფერადი
1,ფერით
1,ფერი
1,ფოთლები
1,ფუნჯი
1,ფურთცელზე
5,ფურცელი
1,ქნა
1,ღამეა
4,ყავისფერი
1,ყავისფრით
1,ყვავილი
1,ყველა
4,ყვითელი
3,შავი
1,შევღებო
1,შეიფერა
1,შემიძლია
1,შემობრუნდე
1,შემოვბრუნდე
1,შენნაირი
4,შენ
1,შეღებე
1,შვილი
1,შვილს
2,შუქნიშანი
1,ჩავდო
1,ჩაუვიდა
5,ჩემი
1,ჩემო
2,ჩემს
1,ცაზე
1,ცარიელი
1,ცოტას
1,ცოტა
4,ძალიან
1,წითელი
9,წყალი
1,წყალში
1,ხაზია
3,ხაზი
2,ხატავს
1,ხელი
2,ხეც
1,ხე
1,ხის
2,ხო
4,ჯერ
1,ჯოხით
