Freq,Word
13,აბა
1,აგერ
2,ადგილები
1,ადგომა
1,ავიღებ
1,ავიღოთ
1,აზრია
2,აიღე
1,აიღო
52,აი
1,ალბათ
1,ამას
1,ამაშიც
1,ამითაც
4,ამითი
2,ამოდის
1,ამოვიდა
1,ამოვიღოთ
2,ამოიღე
1,ამოსულია
1,ამოუსვი
7,ამ
1,ანათებს
1,ანასთან
1,ანთებული
1,ანუ
1,ან
4,არა
11,არის
16,არ
4,ასეთი
14,ასე
1,აუშენო
1,აქედან
4,აქეთ
1,აქეთ-იქით
2,აქვს
14,აქ
3,აღარ
1,ახლავე
35,ახლა
37,აჰა
1,ბალახებზე
1,ბალახებია
1,ბალახების
3,ბალახები
1,ბალახზე
2,ბალახი
2,ბატონო
1,ბაღში
2,ბევრი
1,ბურთის
4,ბურთი
3,გააკეთე
4,გააკეთო
1,გადავაბრუნებთ
1,გადავანაწილოთ
1,გადავიდა
1,გადავკეცოთ
1,გადავღვრი
1,გადავშალოთ
1,გადმოდო
1,გადმოშალე
1,გავავსოთ
1,გავაკეთეთ
1,გავაკეთე
1,გავაკეთოთ
1,გავიგე
1,გავკრათ
2,გავუკეთე
3,გავუკეთოთ
1,გათენდება
1,გათენებულია
2,გაკეთება
1,გაკეთებული
1,გალურჯდა
1,გამოგდის
1,გამოგვადგება
3,გამოგივიდა
1,გამოგიცვლი
1,გამოვიდა
1,გამომართვი
1,გამოხვალ
1,გამწვანდა
1,გასაგებია
6,გაუკეთე
5,გაუკეთო
1,გაწყლიანდა
1,გახსოვს
1,გგონია
1,გეტყვი
2,გვერდზე
3,გვერდიდან
1,გვჭირდება
1,გზა
1,გზიდან
1,გითხრა
24,გინდა
1,გიყიდე
1,გოგონას
2,გუაში
1,გცოდნია
1,დაადგა
2,დაასველო
1,დაბლა
1,დაგესვრება
1,დაგეხმარები
1,დაგიხატავს
1,დაგიხატავ
1,დავასველოთ
1,დავდე
1,დავიბანთ
1,დავიწყებ
1,დავკიდოთ
2,დავხატე
5,დავხატოთ
3,დაიწყე
1,დაიხატება
3,დამელოდე
1,დარბილდება
1,დასველდეს
3,დაუხატე
1,დაუხატო
1,დაღამდა
1,დაღეჭე
1,დაღვარო
1,დახატავს
6,დახატე
3,დახატვა
4,დახატო
19,და
2,დებილობა
3,დედა
3,დედიკო
5,დედი
28,დე
3,დიდი
1,ეგრე
4,ეგ
1,ეზოში
2,ერთად
5,ერთი
1,ესა
2,ესეც
2,ესე
24,ეს
1,ეხლა
4,ვერ
1,ვეცდები
1,ვზივარ
1,ვიზამ
1,ვითომ
1,ვიპოვო
1,ვისია
3,ვიცი
1,ვიცოდი
1,ვნახოთ
1,ვფიქრობ
1,ვხატავდი
1,ვხატავ
1,ვხატოთ
1,ვხატო
1,თან
2,თეთრი
1,თენდება
1,თმები
1,თორემ
1,თუმცა
6,თუ
1,იგი
1,იდო
2,იზამს
1,იმას
1,იმდენი
1,იმითი
1,იმიტომ
2,იმ
1,ისევ
1,ისეთი
2,ისე
1,ისინია
2,ის
2,იქით
3,იყოს
1,იყო
5,იცი
13,კარგად
1,კარგია
8,კარგი
2,კარის
1,კარიც
5,კარი
2,კაცო
1,კეთდება
1,კიბეც
3,კიდევ
2,კი
1,ლამაზია
1,ლამაზი
5,ლურჯი
1,მაგათ
1,მაგას
1,მაგითი
1,მაგით
2,მაგისთვის
3,მაგრამ
1,მაგ
1,მანდვე
1,მანდ
1,მანქანების
1,მანქანები
1,მართალია
3,მართალი
1,მართლა
1,მარტო
1,მაქედანაც
1,მაქვს
2,მაღალი
7,მაშინ
1,მაჩვენე
6,მგონი
1,მეორეც
1,მეორე
10,მერე
1,მეტი
16,მე
2,მზეა
10,მზე
1,მთვარეა
1,მთვარე
10,მიდი
2,მიიწიე
2,მინდორია
1,მინდორი
2,მიწაზე
1,მიჭირს
2,მოგიტანე
1,მოგიცლი
1,მოგწონს
1,მოდიან
12,მოდი
3,მოვალ
1,მოვიდა
1,მოვიტან
1,მოვიფიქრე
1,მოვრთეთ
1,მოვრთოთ
5,მოიცადე
1,მოიწიო
1,მოკაზმული
1,მომინდა
1,მომწონს
1,მორთული
1,მოყევი
2,მოშორდება
1,მრგვალი
2,მსხვილი
1,მწვანედ
1,მწვანეში
7,მწვანე
2,ნათურებიც
1,ნათურები
3,ნაძვის
1,ნახატებია
20,ნახე
2,ნიშნავს
1,ოთხკუთხედი
1,ორივე
1,ორი
1,ოღონდ
2,პატარა
1,პუფს
1,რაებს
1,რამდენიც
2,რამდენი
1,რამე
1,რამოდენა
1,რამხელა
4,რას
1,რატომაა
5,რატომ
1,რაღაცა
20,რა
1,რითი
1,რისი
1,როგორიც
2,როგორი
1,როგორც
3,როგორ
18,რომ
1,სადგომია
1,სადგომი
1,სადმე
2,სად
1,სათამაშოებისთვის
1,სათამაშოები
1,საიდან
1,საინტერესოა
1,საკმარისია
2,საღებავი
2,საღებავში
1,საშობაო
4,სახლის
5,სახლი
4,სახლს
1,სახურავზე
2,სახურავი
2,სველია
1,სტაფილოსფერი
6,სულ
1,სხვას
4,სხვა
3,სხივები
6,ტოტები
2,ტოტი
1,უბრალოა
1,უზარმაზარი
1,უკან
1,უკეთებ
3,უკვე
1,უნდათ
4,უნდა
4,უფრო
1,უშავს
1,ფანჯარა
1,ფანჯრებიც
1,ფანჯრები
2,ფერად-ფერადი
1,ფერებია
1,ფერები
1,ფერით
2,ფერის
1,ფერიც
4,ფერი
1,ფეხები
3,ფოთლები
3,ფუნჯი
1,ფურცელზე
2,ფურცელი
1,ქვემოთაც
1,ქვეშ
1,ქნა
1,ქუჩაში
2,ღამდება
2,ღამეა
1,ღობე
2,ყავისფერი
1,ყავისფრით
1,ყვავილებიც
2,ყვავილები
1,ყველგან
6,ყვითელი
1,ყვითელში
1,ყოფილა
2,შავში
11,შეაერთე
2,შეგვიძლია
18,შეგიძლია
1,შედიხარ
1,შეერთდა
1,შევაბრუნო
1,შევაერთოთ
1,შეიცვალა
1,შეიძლება
1,შემიძლია
1,შემოდის
1,შემოდიხარ
1,შემოსახვევია
2,შენთან
2,შენი
1,შენს
7,შენც
16,შენ
1,შესასვლელი
1,შესახვევი
1,შეფერადებულა
1,შეხედე
1,შვრება
3,შუქნიშანი
3,ჩააწე
1,ჩავასხათ
2,ჩავაწვეთებ
1,ჩავიდა
1,ჩავჯდები
1,ჩაისხა
2,ჩამოუსვი
1,ჩაუსვი
2,ჩემს
1,ჩვენი
1,ჩვენ
1,ცალი
1,ცარიელია
2,ცარიელი
1,ცაში
1,ცოტათი
5,ცოტა
2,ძალიან
1,წაიღე
1,წაიღო
1,წამი
5,წამოვიდა
4,წამოიღე
6,წამოიყვანე
1,წამოიყვანო
2,წამოუყვანე
1,წაშალო
7,წერტილთან
8,წერტილი
1,წერტილს
1,წესით
1,წითელი
2,წყალი
5,წყალს
