Freq,Word
2,ააგდე
2,აბა
2,აბრაზებს
2,აგერ
1,ავავსებ
1,ავიღებ
1,ათ
3,აი
4,ამას
1,ამაში
1,ამდენი
1,ამეებს
1,ამითი
2,ამნაირი
2,ამ
3,ანა
1,ანუ
1,არავინ
1,არაფერი
2,არაფერს
25,არა
2,არიან
4,არის
2,არც
49,არ
11,ასე
1,აუ
2,აფერადებ
3,აქეთ
2,აქვს
5,აქ
5,აღარ
11,ახლა
2,აჰა
9,ა
2,ბავშვს
1,ბევრი
1,ბევრს
3,ბევრჯერ
1,ბეჭედი
1,ბოროტი
1,ბოსტნეული
1,ბურთი
1,გააფერადებ
1,გააფერადე
1,გადავიფიქრე
1,გადავიღე
1,გადავღვაროთ
1,გადავყლაპო
3,გადაუსვი
1,გადმოიღვაროს
4,გავაკეთებ
1,გავაკეთეთ
2,გავაკეთო
1,გავამზადე
5,გავატარებ
1,გავაფერადებ
3,გავაფერადოთ
2,გავაღებ
1,გავიდა
1,გავსწორდები
3,გავუფერადე
1,გაზზე
2,გათხოვებ
1,გაიქცეს
2,გაკეთდება
1,გაკეთება
1,გაკეთებულია
2,გამიგია
1,გამოაგდე
1,გამოგიცხე
1,გამოვაცხო
2,გამოვიდა
1,გამოვიყენოთ
3,გამოვიცვლი
1,გამომივა
3,გამომივიდა
1,გამომიცხე
1,გასატეხი
1,გაუფერადე
2,გაფერადება
2,გაქვს
1,გაშავდა
1,გაჩერდე
1,გაცრა
2,გახდა
1,გახდება
2,გემო
1,გემრიელი
2,გეყოფა
2,გვიან
1,გზაში
3,გითხარი
5,გინდა
2,გიო
1,დაბადების
2,დაგეყარა
1,დაგიტოვე
1,დაგჭირდება
1,დადგა
1,დაელოდე
1,დავამატე
2,დავამთავრებთ
2,დავასხამ
1,დაველოდოთ
1,დავისვარო
1,დავიღალე
1,დავყრი
1,დავწერო
1,დავხატავ
2,დავხურავ
1,დათვები
3,დაილაპარაკე
1,დაიმსახურე
3,დაიცადე
1,დაიცა
1,დაიწვას
14,დამაცადე
1,დამაცადო
3,დამაცდი
1,დამეღვარე
1,დამიძახე
1,დამრჩა
1,დასალევი
1,დაწერა
1,დახატვას
1,დაჯდები
1,დაჯექი
35,და
5,დედა
1,დეს
5,დე
1,დიახაც
1,დიახ
1,დიდია
3,დიდი
1,დიდხანს
3,დივანი
1,დივანს
1,დილით
1,დღეა
3,დღე
1,ეგ
1,ეთამაშება
1,ერთადგილიანი
1,ერთია
4,ერთი
2,ერთ
4,ესენი
1,ესეც
28,ეს
1,ეცხობა
1,ვათავებ
1,ვათხელებ
1,ვაკეთებთ
1,ვაკეთებ
1,ვამბობ
3,ვანილი
3,ვარდება
1,ვარდისფერი
4,ვარ
1,ვეთამაშო
3,ვერ
1,ვეტყვი
1,ვეღარ
3,ვთამაშობთ
1,ვითამაშებ
2,ვიტკინე
1,ვიქნები
1,ვიყო
4,ვიცი
1,ვიხუმრე
1,ვურიო
1,ვუყურე-მეთქი
1,ვქნათ
1,ვქნა
2,ვწერ
1,ვჭამთ
1,ვჭამოთ
3,ვჭამ
1,ზელს
1,ზილე
1,თანამშრომლებს
1,თევზებით
1,თექთურმანიძეს
1,თორემ
10,თუ
1,თხელია
3,თხელი
5,იმიტომ
1,იმ
1,ისა
2,ისე
2,ის
1,იქნება
3,იქ
1,იყვირო
6,იყოს
3,იცი
1,კარაქია
4,კარაქი
5,კარგი
4,კარებს
1,კარტოფილები
1,კეთილები
2,კვერცხი
6,კიდევ
2,კი
1,კოვზიც
1,კოვზი
1,კომპიუტერში
1,კრემსუპი
2,ლიფტში
1,ლურჯი
2,მაგარი
1,მაგიდის
1,მაგითი
1,მაგიტო
6,მაგრამ
1,მაგ
1,მადლობა
1,მათხოვე
1,მაინც
2,მალე
1,მარილს
5,მაქვს
1,მაჩვენე
1,მაჭამო
2,მგელი
2,მგლის
1,მეთამაშე
10,მერე
1,მეტი
1,მექნება
2,მეშინია
1,მეძახი
24,მე
3,მთელი
1,მიდი
1,მიეწებება
1,მივადე
1,მითქვამს
1,მითხრა
14,მინდა
1,მირჩევნია
1,მიჩანს
2,მიხედე
1,მოგიმზადებ
4,მოგიტან
1,მოგცე
1,მოდიო
1,მოეცხობა
1,მოეცხო
11,მოვალ
3,მოვიდნენ
3,მოვიტანე
1,მოვიტან
2,მოვლენ
1,მოვურევ
6,მოზილე
1,მოზილე-მეთქი
1,მოიტანე
6,მოიცადე
1,მოიცა
1,მომაქვს
4,მომეცი
2,მომეწონა
1,მორევა
1,მორჩა
2,მოსულან
1,მოსულა
1,მუცელი
5,მჭირდება
1,მჯერა
1,ნაირია
3,ნამდვილი
1,ნამცხვარი
1,ნამცხვარს
1,ნამცხვრის
1,ნაყინს
5,ნახე
1,ნელი
1,ნიკოს
1,ნუ
1,ოთხი
2,ოთხკუთხედი
1,ორია
1,ორი
1,პატარაა
2,პინგვინი
1,პირში
1,პიუ
1,რაზე
1,რამდენი
1,რამხელა
2,რანაირად
3,რანაირი
1,რას
3,რატომ
3,რაღაცას
4,რაღაცა
1,რაც
12,რა
1,რბილია
1,როგორ
1,რომელ
19,რომ
1,როცა
1,რო
1,სად
1,სავარძელი
1,სალათა
1,სალათები
2,სამზარეულოში
1,სამია
4,სამი
1,სამკუთხედი
1,საქმე
1,საცერი
1,საჭმელის
1,საჭმელი
1,საჭმელს
1,სთიცქ
1,სოფოსია
5,სტუმრები
1,სულ
1,სუპი
1,სჭირდება
1,ტაფა
1,ტელეფონი
1,ტიტლიკანა
3,ტორტი
5,ტორტს
1,უთხარი
2,უკვე
14,უნდა
1,ურტყამს
3,უყურე
3,უშავს
1,უჯერებს
1,უ
1,ფრთები
4,ფული
2,ფქვილი
1,ფქვილს
5,ქენი
1,ქვეშ
1,ქვიშას
1,ქვიშა
3,ქნა
1,ყავა
1,შაქარი
2,შევალ
1,შევეხე
1,შევურევ
1,შევურიე
4,შევჭამ
