Freq,Word
16,აბა
1,აგერ
4,ადექი
1,ავდგე
1,ავიღებ
1,ათი
1,აიმღვრა
1,აიღებ
1,აიღე
22,აი
1,აკეთებ
1,ალბათ
1,ამაზე
1,ამასობაში
2,ამას
1,ამაში
1,ამბავია
1,ამბობდი
1,ამბობ
1,ამეებში
1,ამითი
2,ამიტომ
6,ამ
3,ანა
3,ანუ
4,ან
1,აპირებ
1,არაჟანი
2,არაფერს
1,არაფრის
22,არა
4,არიან
16,არის
41,არ
1,ასეთი
14,ასე
2,აუ
1,აფერადებ
6,აქედან
1,აქეთკენ
5,აქეთ
4,აქვს
9,აქ
2,აღარც
12,აღარ
1,ახლავე
17,ახლა
1,ახლო-ახლოს
7,აჰა
7,ა
1,ბაბუმ
1,ბატონო
2,ბაღში
1,ბებოს
1,ბებო
2,ბევრია
2,ბევრი
1,ბევრ
1,ბოდიში
1,ბოროტი
1,ბოსტნეულები
2,ბოსტნეული
1,ბრალია
1,ბრალი
2,ბუნაგში
1,ბურთები
1,ბურთი
1,გაათხელო
1,გააკეთე
2,გააკეთო
1,გაარყიე
1,გაასწორო
2,გაატარებ
1,გაატერებ
5,გააღე
1,გაგვითხელდება
1,გაგიგია
1,გაგიკეთა
1,გაგიმარილიანდება
1,გაგირეცხე
1,გადაგისვა
1,გადაგისვი
3,გადავდოთ
1,გადაუსვა
1,გადაუსვი
1,გადაღვარე
1,გადაყარო
1,გადაწყვიტე
1,გაეკვეხა
1,გავაგრძელებ
1,გავათავებთ
1,გავაკეთებ
1,გავაკეთეთ
2,გავაკეთოთ
1,გავაკეთო
2,გავაფერადებ
1,გავაფერადე
1,გავაფერადოთ
2,გავიგებ
1,გავიგე
1,გავიკეთებ
1,გავიწელე
1,გავს
1,გავწიოთ
1,გაზზე
1,გათეთრდა
1,გათხელდა
2,გაიქცევა
1,გაიცრა
1,გაიწიე
1,გაიწმინდა
1,გაკეთდა
1,გაკეთებული
1,გამიგია
1,გამოგვიცხვია
1,გამოგივიდა
1,გამოდის
2,გამოვა
1,გამოიღე
2,განსხვავდება
1,გასქელდა
2,გასწორდება
9,გასწორდი
1,გატარებას
3,გაქვს
1,გაშავდა
1,გაშორებულია
1,გაცრა
2,გაწმინდო
2,გაჭმევ
1,გაჭუჭყიანდა
1,გახდება
3,გეთამაშები
2,გეთამაშო
2,გელაპარაკები
1,გელაპარაქები
3,გელოდება
5,გელოდები
1,გემრიელია
3,გეტყვი
1,გეუბნები
1,გვანან
3,გვაქვს
1,გვერდებიდანაც
1,გვეტყვიან
1,გვეჭამა
2,გვიან
3,გთხოვ
2,გითხარი
18,გინდა
1,გიყურებს
1,გიჩანს
1,გკითხე
1,გულისხმობდი
3,გუშინ
1,გყავდა
3,გჭირდება
1,გხედავდეს
1,გხედავს
1,გჯერა
1,დააბრუნებ
1,დაამზადე
1,დაასრულე
1,დაასრულო
1,დაასხამ
1,დააყარე
1,დაბადების
4,დაბლა
2,დაგვრჩა
1,დაგიძახო
1,დადექი
7,დადე
2,დაემართა
1,დავათვალიეროთ
1,დავდეთ
2,დავიმსახურე
2,დავიღალე
1,დავლიო
3,დავსხდეთ
2,დავურეკავ
1,დავჭრათ
1,დავხატავ
1,დავხატოთ
4,დათვი
1,დაინახავს
1,დაისვარო
1,დაიყაროს
4,დაიყრება
1,დაიწუწება
1,დაკეტე
1,დამესხმევა
3,დაპატარავდები
2,დარჩა
1,დასაჯდომი
1,დასვარე
1,დასხდნენ
1,დატეხილი
1,დაურეკე
1,დაურეკო
1,დაყრი
2,დაწერე
1,დაწერო
2,დაჭერი
1,დახატე
1,დახატო
1,დაჯდები
11,დაჯექი
55,და
6,დედა
2,დედიკო
4,დედი
32,დე
3,დიდი
1,დიდხანს
2,დივანზე
1,დივანია
1,დივანიც
2,დივანი
1,დივანს
1,დილით
3,დოდის
1,დროა
1,დროს
1,დროულად
3,დღეს
1,დღე
1,ეგრე
7,ეგ
2,ელაპარაკებოდი
1,ერთადგილიანია
3,ერთად
1,ერთიც
15,ერთი
1,ერთმანეთისაგან
1,ერთმანეთისგან
1,ერთმანეთს
1,ერთნაირები
1,ერთ
1,ესენი
2,ესეც
17,ეს
1,ეძახი
1,ე
1,ვაკეთებთ
1,ვანილია
1,ვანილი
1,ვარდება
2,ვარდისფერი
1,ვარდისფერ
1,ვაფერადებ
3,ვდგები
1,ველაპარაკოთ
1,ველოდოთ
1,ველოსიპედის
1,ველოსიპედი
1,ველოსიპედს
1,ვერაფერსაც
1,ვერა
10,ვერ
2,ვეღარ
1,ვთამაშობთ
1,ვითამაშებთ
1,ვითამაშებ
4,ვითამაშოთ
2,ვითვლი
1,ვითომ
1,ვინც
2,ვინ
1,ვისაც
2,ვის
1,ვიღებთ
1,ვიცი
1,ვლაპარაკობ
1,ვუმატოთ
1,ვუქენით
2,ვჭამთ
3,ვჭამოთ
1,ზელს
1,ზელ
2,ზილე
1,ზღარბებია
2,ზღარბები
1,ზღარბები-თქო
3,თავის
1,თამაში
1,თამაშს
3,თან
1,თეფშზე
3,თეფში
2,თვითონ
6,თორემ
5,თუთიკო
