Freq,Word
10,აბა
2,ადექი
1,ავკრიფოთ
1,ათას
3,აიღე
23,აი
2,აკეთებს
2,ამაზე
1,ამას
1,არაფერი
4,არა
1,არიან
8,არის
9,არ
1,ასე
1,ასმევდი
1,აქეთ
7,აქ
1,აღარ
1,აჭერ
3,ახალი
3,ახლა
4,აჰა
1,ბანაობს
1,ბაჭია
6,ბიჭი
2,ბიჭო
3,ბიჭს
1,ბურთი
5,გააღე
11,გაბი
1,გაბრიელა
1,გაგიფრცქვნა
1,გადმოდი
1,გამიღე
1,გამოგიღებ
3,გარეთ
2,გატკინა
1,გემრიელია
1,გეტკინება
2,გვინდა
9,გინდა
2,გოგოს
3,გოგო
1,გუშინ
2,დაგივარდა
3,დაგიჭირე
2,დადგე
1,დადექი
3,დავიბანოთ
1,დაიტკბილა
1,დაიჭირე
1,დამანახე
1,დაღეჭავ
1,დახტეს
2,დაჯექი
5,და
1,დგახარ
1,დედა
1,დევს
2,ეგ
1,ერთი
1,ესენიც
3,ესენი
1,ესეც
13,ეს
1,ვარ
1,ვაშლი
4,ვაჭამოთ
2,ვერ
1,ვიცი
1,ვჭამოთ
1,თან
1,თაფლს
1,თერთმეტი
6,თვალები
3,თუ
1,იქ
1,იყავი
1,იყო
1,იჯექი
2,კანი
2,კარგია
1,კაცს
5,კიდევ
1,კურდღელია
1,მაგაზე
1,მაგას
1,მაგიტომ
2,მანდ
3,მასე
2,მაქვს
1,მაღლაა
1,მაწონი
2,მე
1,მზე
1,მიდიხარ
6,მიდი
2,მოგეწონა
1,მოგეწონება
4,მოგიტანო
3,მოგწმინდე
35,მოდი
6,მოიცადე
1,მოიცა
1,მომაქვს
4,მომეცი
1,მომიტანე
1,მსროლელი
5,ნახე
1,ნტა
1,ნუ
1,ოპა
1,ოპ
1,ორ
2,ოცდაერთი
2,პატარაა
1,პატარა
1,პაწუკები
5,პირი
2,რამ
2,რატომ
10,რა
1,როგორი
3,როგორ
4,რომ
1,საათი
6,სად
1,სათვალემ
2,სექტემბერი
1,ტირი
1,ტკბილია
1,ტუჩები
1,უკბინე
1,უკვე
5,უნდა
1,უფრო
1,ფუფუს
1,ქალს
4,ქენი
2,ქნა
1,ყველას
4,შენ
1,შეჭამე
1,შვრება
3,შვრები
2,ჩავაგდებ
1,ჩავაგდე
1,ჩაის
1,ჩაკბეჩ
2,ჩაკბიჩე
1,ჩემი
1,ჩვენ
1,ჩიტები
1,ჩიტი
1,ცუდი
1,ცხრამეტი
1,წავედით
3,წავიდეთ
3,წაისვი
2,წაიქცევი
3,წამოდი
1,წელი
1,წიგნზე
2,წიგნი
1,ჭამდი
3,ჭამე
1,ჭამ
1,ჭკვიანი
2,ხელი
1,ხოლმე
9,ხო
1,ჰო
