Freq,Word
1,აბა
1,აივლი
18,აი
1,აკეთებდა
2,აკეთებს
1,ამაზე
9,ამას
3,ამაში
1,ამისაც
2,ამოვიდა
1,ამოძრავებს
3,ამ
2,ანათებს
1,აპიპინებს
1,არაა
37,არა
21,არის
19,არ
1,ასეთ
24,ასე
1,ასო
1,აფრენას
1,აფრენისას
1,აფრენ
2,აფრინდა
3,აქა
1,აქვე
12,აქვს
6,აქ
1,აღარ
1,აცხობ
1,ახატია
2,ახლა
1,ბანანი
1,ბაჭიაა
4,ბაჭიას
4,ბაჭია
1,ბორბლების
5,ბორბლები
1,ბროკოლია
2,ბულგარული
1,ბურთი
1,გავაჩენ
1,გავჭრა
1,გამოიწია
2,გასაკეთებელი
2,გატყდა
1,გაჭრა
1,გახარებული
1,გოგო
2,გრძელთმიანი
1,გული
2,დააკაკუნა
1,დაანგრიე
1,დააწვები
1,დააჭერ
1,დავდებ
1,დავკიდებ
1,დათუნია
1,დაინგრა
2,დაიძინო
1,დაიწყებს
1,დასვი
1,დაქოქე
1,დაღამდა
30,და
3,დიდი
1,დიდ
2,დომინო
1,დოქი
1,ეგა
1,ეგ
1,ერთი
11,ესა
1,ესეთი
1,ესენი
1,ესეც
1,ესე
37,ეს
1,ეტევა
1,ვაბრაზებ
1,ვაკეთებ
7,ვართ
3,ვარ
1,ვაშლი
1,ვაცხობ
1,ვაწყობ
11,ვითომ
3,ვინ
2,ვიოლინოზე
3,ვიოლინო
1,ვის
2,ვიყავი
6,ვიცი
1,ვკიდებდით
1,ვკითხულობდი
2,ვუკრავდი
1,ზედა
1,ზევით
1,ზის
1,ზუსტად
1,თეთრია
1,თეთრი
1,თეთრს
1,თეთრ
1,თვითმფრინავი
1,თვითმფრინავსაც
1,თვითფრინავი
1,თმა
1,თმები
1,თოჯინები
1,თუ
1,იაია
1,ია
1,ილიას
1,იმაში
1,ისა
1,ისევ
5,ის
1,იქა
1,იქ
1,იღლია
2,იყოს
2,იყო
1,იცის
1,იცი
1,იწევა
1,კაკადუ
1,კარის
1,კბილები
1,კვერცხია
1,კვერცხივით
1,კვერცხისავით
1,კიბეზე
4,კიდევ
1,კისერი
23,კი
1,კრორექსი
2,ლიმონის
3,ლიფტი
1,მაგარია
1,მაგიტომ
1,მაგრამ
3,მათე
1,მათხოვა
1,მაიმუნის
1,მაიმუნი
1,მაიმუნს
2,მანქანაა
1,მანქანასავით
1,მანქანას
3,მანქანა
4,მართლა
1,მარიამმა
1,მარიამს
1,მაშინ
3,მაჩუქა
1,მგონია
1,მგონი
4,მეორე
6,მერე
2,მერვეზე
3,მეტკინა
1,მეშვიდეზე
1,მეშინია
4,მეც
13,მე
1,მიდიოდა
3,მიდის
1,მივდიოდით
1,მივფრინავდი
5,მინდა
1,მინდოდა
1,მირტყამს
1,მიქანდა
1,მიყვარს
1,მიშოს
1,მიცურავს
1,მოაძრობენ
1,მოგცა
1,მოვდიოდი
1,მომიტანა
2,მომწონს
2,მუცელი
1,მცივა
1,მცხელა
1,მწვანეს
2,მწვანე
1,ნამდვილი
1,ნამცხვარს
1,ნანასი
6,ნანას
1,ნანა
1,ნაყიდია
2,ნაძვის
3,ნახე
2,ნელა
1,ნესტოები
1,ნიორია
1,ნიშნავს
1,ობობაა
1,ობობა
7,პატარა
1,რანაირად
3,რაპუნცელი
2,რას
11,რატომ
2,რაღაცა
13,რა
2,რეზინა
1,რისია
1,რისი
2,როგორი
1,როგორც
3,როგორ
1,რომელიც
1,რომელი
1,რომელშიც
1,რომელ
1,რომლითაც
21,რომ
1,საათი
6,სად
1,სათამაშოებს
1,სათამაშო
2,სამი
2,საპარსზე
1,საპარსი
2,საპნის
1,საპონია
1,სარეცხის
4,სარეცხი
1,სართულზე
2,სატაცური
1,საჭმელი
1,სახლია
1,სახლის
2,სახლი
2,სახლს
1,სახლში
1,სოკოს
1,სტაფილოები
1,სტაფილო
6,სულ
1,ტელეფონში
1,ტუჩები
1,უნდა
1,უყვარს
1,უშავს
1,უშვებს
6,უცებ
1,უჭირავს
2,ფანჯარა
1,ფაფა
1,ფისი
1,ფრთებს
2,ქეთი
1,ღუმელია
2,ყვავილი
1,ყველის
1,ყურები
1,ყური
4,შავი
2,შეიწია
1,შემოეტევა
1,შემცივდა
6,შენ
1,შოკოლადის
1,შოკოლადს
1,ჩავყაროთ
1,ჩავყარო
1,ჩავყრი
1,ჩაი
2,ჩამივა
2,ჩასადები
1,ჩელოს
2,ჩემია
1,ჩემი
1,ჩემს
1,ჩვენს
5,ჩვენ
2,ჩიტი
3,ჩქარა
2,ცარცი
1,ციმციმებს
1,ცოტათი
1,ცოტა
1,ცუდი
2,ცხენი
1,ცხვირი
1,ძალიანაც
1,ძალიან
1,ძროხა
1,წავა
1,წამოდი
3,ხარ
1,ხაჭოსაც
1,ხაჭო
2,ხეზე
1,ხინკალია
3,ხინკალი
1,ხმა
4,ხოლმე
1,ხორცის
1,ხო
5,ჯერ
1,ჰყავს
