Freq,Word
1,ააწყე
51,აბა
1,ადამიანებით
1,ადამიანი
2,ადამიანს
2,ადრე
1,ავალაგოთ
1,ავდგე
1,ავდივართ
2,აირბენ
36,აი
1,აკეთებენ
8,აკეთებს
1,აკეთებ
1,ამაზე
1,ამასაც
9,ამას
3,ამაში
2,ამბობენ
1,ამის
3,ამიტომ
1,ამიყვანეო
3,ამოდის
1,ამოვალაგოთ
2,ამოვიდა
1,ამოვიდეს
2,ამოვყაროთ
1,ამოხეთქავს
8,ამ
3,ანათებს
2,ანა
2,ანგელოზი
1,ანუ
3,ან
1,აპიპინებს
29,არა
1,არიან
64,არის
1,არი
3,არსებობს
60,არ
23,ასე
1,ასო
2,აფრენისას
2,აფრენის
3,აქა
4,აქეთ
1,აქეთ-იქით
24,აქვს
16,აქ
2,აღარ
2,აცხობ
2,აწერია
2,აწიე
2,აწყობ
1,აჭედებენ
1,ახალი
2,ახატია
17,ახლა
1,ახლოს
7,აჰა
1,ა
1,ბავშვებო
2,ბანანი
1,ბაღი
4,ბაღში
1,ბაჭიაა
5,ბაჭიას
1,ბაჭიაც
8,ბაჭია
1,ბაჭიები
1,ბაჭიებს
2,ბებიკო
2,ბიჭი
2,ბიჭო
1,ბოდიალობთ
1,ბორბლები
3,ბორბლებს
1,ბროკოლია
1,გააკეთა
1,გააუბედურეს
1,გააჩინე
1,გააჯოჯოხეთეს
1,გაგეზრდება
1,გაგიპარსია
2,გაგიჟდება
1,გადაგხოტრავს
2,გადაგხოტროს
1,გადავიღეთ
1,გადავიხოტროთ
1,გადაიპარსა
1,გადაიხოტრე
1,გადაღებაში
1,გადაღება
1,გადაყრის
1,გადაცვდა
1,გადმოატრიალებ
2,გადმოატრიალე
1,გადმოვიტანოთ
2,გადმოყარო
1,გადმოყრა
1,გავბრაზდები
2,გავიგე
3,გავიცანით
1,გავუსწორებ
1,გავუშვა
1,გათბე
2,გათხოვა
1,გაივლის
1,გაიზრდები
1,გაიპარსე
1,გაირბინოს
6,გაიქეცი
1,გაიჩოჩე
1,გაიჭრა
1,გაკვირვებული
2,გამაღვიძო
1,გამიგრძელე
4,გამიკეთებ
2,გამოაჩინე
1,გამოგივა
1,გამოვა
1,გამოვხატავ
1,გამოიწიოს
1,გამოუშვებს
1,გამოუძინებელი
1,გარეთ
1,გასაკეთებელს
1,გატყდება
1,გაუკვირდება
1,გაუუბედურებიათ
1,გაუჩნდა
1,გაუჭუჭყიანებიათ
1,გაქვსო
5,გაქვს
1,გაჩერდეს
3,გაჩუქა
2,გაცვია
1,გაწიე
1,გაწყობს
2,გაჭედილი
1,გახარებულია
1,გახარებული
1,გახდა
1,გახვალ
2,გახსოვს
2,გეზარება
1,გეთამაშები
1,გერმანიიდან
2,გეტკინება
1,გეტყვი
1,გეშინია
1,გეძინა
1,გეძინება
1,გეძინოს
1,გეხვეწები
1,გეხსნება
1,გეხუმრე
2,გვაქვს
1,გვეკიდა
1,გვერდებზე
1,გვიანია
1,გვიშლის
1,გვყავს
1,გვძინავს
1,გთხოვეთ
1,გიდევს
1,გითქვამს
2,გინახავს
5,გინდა
2,გინდოდა
1,გირტყამს
1,გიყვარს
1,გოგოებო
2,გოგოს
4,გოგო
4,გრძელთმიანი
3,გრძელი
1,გტკივა
1,გულთან
5,გული
1,გუშინ
1,გქვია
1,გქონდა
1,გშია
2,გცივა
1,დააბიჯოს
1,დააგროვე
1,დაათრევთ
1,დაარტყი
3,დაარქვეს
1,დაატრიალე
1,დააჯექი
1,დაგვიმთავრებია
1,დაგიგუბდა
1,დაგივარდება
1,დაგივარდეს
2,დადისო
1,დაებრეხვება
1,დაეღალოს
1,დავათვალიეროთ
1,დავამთავრებთ
2,დავამთავროთ
1,დავიფარო
1,დავიძინებ
2,დავიძინოთ
1,დავუმაგრებ
1,დავქოქო
1,დათუნიაა
2,დათუნიას
1,დაიკარგება
1,დაიკარგოს
1,დაინახე
1,დაინგრა
2,დაისვარე
1,დაისვრი
1,დაიძინეთ-მეთქი
1,დაიწყო
2,დაიჭირე
2,დაკვრა
1,დაკიდებ
1,დალიე
2,დამავიწყდა
2,დამიჯექი
1,დამტენს
1,დასაღეჭად
1,დასვრი
1,დასცინიან
2,დაფრენისას
2,დაფრინავს
1,დაქოქავ
1,დახატავ
1,დახატე
4,დაჯექი
66,და
1,დებენ
1,დედა
4,დე
1,დიდების
