Freq,Word
3,აბა
1,ადამიანებს
1,ადამიანი
2,ადრე
1,ავიღო
2,აიღო
24,აი
1,აკეთებს
2,ალბათ
2,ამაზე
5,ამას
1,ამდენი
1,ამდენ
1,ამოიღო
1,ამოუყვანა
1,ამ
4,ან
16,არა
1,არისო
11,არის
1,არსებობს
29,არ
1,ასეთები
4,ასეთი
4,ასე
1,აფრინდნენ
2,აქაც
6,აქა
1,აქეთ
5,აქვს
17,აქ
4,ახალი
1,ახატია
15,ახლა
15,აჰა
1,ბაბუა
2,ბარტყი
2,ბატონო
1,ბევრი
1,ბიჭია
1,გააკეთებდა
1,გადადგა
1,გადავდგამ
1,გადავდგა
1,გადავდგი
3,გადავიყვან
2,გადავფურცლოთ
1,გადავშალოთ
1,გადავშალო
3,გადაუგდო
1,გადაუღო
2,გადმომიგდე
1,გავათბე
1,გავაკუე
1,გავაფერადე
2,გაიგებს
1,გაიგე
1,გამოდის
1,განახებ
1,გაქვს
1,გაშლი
1,გაჩვენო
2,გახდა
1,გეუბნება
3,გვარი
1,გთხოვ
1,გილაგებ
3,გინახავს
1,გიღებ
1,გული
1,დაათვალიერო
1,დაანებე
1,დაატრიალოო
1,დაგაყენებ
1,დაგაყრი
1,დაგრჩა
2,დადგა
3,დადე
1,დაელოდეთ
1,დავათვალიერეთ
1,დავათვალიეროთ
1,დავათვალიერო
3,დავდოთ
2,დავითვლი
1,დავილაგო
1,დავიწყებ
6,დავიწყოთ
1,დავკარგე
1,დათვები
2,დაიძინე
2,დაიხურა
1,დამთავრდა
1,დამრჩა
1,დაუკარგო
1,დაცურავს
1,დაწექი
2,დახურე
53,და
1,დგამ
1,დგანან
1,დედოფალს
2,დევს
3,დღეს
2,ეგ
1,ეთერსაც
1,ეთერსა
1,ეთერს
2,ერთი
2,ერთხელ
1,ერქვა
1,ესაა
12,ესა
1,ესეთი
7,ესენი
10,ესეც
2,ესროლა
54,ეს
1,ე
6,ვარ
1,ვაჩუქე
1,ვერაფერს
1,ვერტმფრენში
2,ვერ
1,ვითამაშოთ
1,ვითომ
1,ვილაპარაკოთ
8,ვიცი
1,ვნახო
1,ვჩანვარ
1,ვწერ
1,ზის
1,ზღაპარი
1,ზღაპარს
2,ზღვის
1,თავიდან
1,თავისი
1,თამაში
1,თან
1,თევზი
1,თეთრები
2,თორემ
2,თოფი
1,იამზესაც
1,ია
1,იდო
1,იმათი
1,იმას
1,იმეებზე
1,იმისი
1,ირაკლისია
1,ირაკლის
4,ირაკლი
1,ისევ
2,ის
1,იტირა
3,იქა
1,იქიდან
1,იქ
7,იყო
1,იცვამენ
10,იცი
2,კარგად
2,კარგი
1,კაცი
1,კიდევაა
19,კიდევ
1,კიდე
12,კი
1,კლავიატურაც
1,კლავიატურა
3,კუ
4,ლეპტოპში
1,მაგარია
4,მაგარი
1,მათე
1,მაიმუნები
1,მალე
1,მამას
1,მანანასაც
1,მანანაც
1,მანქანაში
1,მანქანა
1,მარიამი
1,მარტორქები
1,მასეთი
