Freq,Word
12,აბა
1,აბრუნებ
1,ადამიანის
3,ადამიანი
1,ავკრიფოთ
1,ათვალიერებ
25,აი
2,აკეთებს
1,ალბათ
1,ამათი
1,ამით
5,ამოდი
1,ამოვიღეთ
1,ამ
16,არა
1,არიან
13,არის
1,არსად
20,არ
1,ასეთი
4,ასე
1,აფრინდნენ
2,აქა
1,აქეთ
2,აქვს
14,აქ
1,აჩუქა
1,აჩუქე
1,ახატია
9,ახლა
2,ახლო
8,აჰა
1,აჰ
1,ბაბუა
1,ბავშვი
1,ბარტყი
1,ბატონო
1,ბაღში
1,ბიჭია
1,ბოლოში
1,ბოროტმა
1,გადადის
2,გადმომიგდე
2,გავიქეცით
1,გაიგო
1,გაიქეცი
1,გაკლია
1,გამოაჩინე
1,გამოეჩეკა
1,გამოწიე
12,გაქვს
1,გაშალე
1,გაჩუქა
1,გეშინია
1,გვაკლია
1,გვერდით
1,გვერძე
7,გინდა
2,გული
1,დაათვალიერო
1,დაალაგე
1,დააყენო
2,დაგაყენებ
1,დადგა
1,დადე
1,დადის
1,დადოს
1,დადო
1,დავდებ
1,დავდოთ
1,დავიძინოთ
1,დავიწყოთ
1,დავკარგავთ
1,დავყაროთ
1,დათვები
1,დაითვალე
1,დაიკარგა
1,დაიკარგება
1,დაიკარგოს
1,დაიფარე
1,დაიწყე
1,დაკარგავდი
1,დაკარგავ
1,დაკარგულია
1,დაუკარგავ
1,დაუკარგო
1,დაუძახა
2,დაჯექი
25,და
4,დგანან
4,დგას
1,დედოფალია
4,დედოფალი
2,დედოფალს
1,დევს
1,დროზე
3,დღეს
1,ეგ
1,ეთერსა
1,ეთერს
6,ერთი
1,ერთმა
2,ესა
1,ესეთი
2,ესენი
1,ესეც
8,ესე
35,ეს
1,ვარ
1,ვთქვათ
1,ვითამაშოთ
3,ვინ
1,ვისი
1,ვის
1,ვიღებ
1,ვნახეთ
2,ზღაპარი
2,ზღაპარს
1,თავი
1,თითოზე
1,თითო
3,თორემ
1,იამზეს
1,ია
2,იკეცება
1,ილაპარაკე
2,იმიტომ
1,ირაკლის
1,ირაკლი
5,ის
1,იქა
6,იყო
2,იშლება
4,იცი
1,კამერა
3,კარგად
8,კარგი
1,კაცი
1,კვარაცხელია
1,კვერცხებიდან
1,კვერცხები
11,კიდევ
10,კი
3,კოშკი
1,ლხინი
1,მაგ
1,მადლობა
35,მათე
1,მამა
2,მანდ
1,მარკორქები
1,მარტია
1,მარტო
1,მასე
1,მასწავლებელი
1,მაქვს
3,მაშინ
1,მელაო
1,მელიამ
6,მერე
2,მეფეს
11,მეფე
1,მეფის
2,მეც
11,მე
1,მზად
1,მზესუმზირაც
1,მთავარი
1,მიგყავს
1,მივიდა
1,მითხარი
2,მინახავს
1,მინდა
1,მიშავს
6,მოგწონს
8,მოდი
1,მოვდივარ
2,მოვიტან
1,მოვკლა
1,მოვყვეთ
1,მოვჭრი
2,მოიტანე
1,მოიტანს
1,მოიტან
1,მოიცადე
2,მომეცი
2,მონადირე
1,მოსამსახურეები
1,მოსამსახურე
1,მოტრიალდი
1,მოყევი
1,მოყვები
3,მოყვე
1,მოძებნე
1,მოხვედი
1,მრგვალი
1,მქონდა
1,მყავს
3,მწერები
1,ნაწილია
2,ნახე
1,ნუთუ
1,ნუ
2,ორი
3,ოღონდ
1,ოცი
1,პაიკები
1,პაიკით
1,პაიკი
4,პატარა
2,პატარები
1,რაზეა
2,რაინდის
1,რაინდი
2,რამდენი
1,რაო
4,რას
3,რატომ
18,რა
1,როგორია
5,როგორ
1,როდის
2,რომელია
1,რომელიმე
13,რომელი
1,რომელს
2,რომელ
10,რომ
1,სადაც
1,სადმე
4,სად
1,საიდან
1,საინტერესო
4,სულ
1,სხედან
1,ტოსტერი
1,ტრაქტორები
1,უკან
1,უკვე
4,უნდა
3,უფრო
1,უყვება
1,უშავს
1,ფრთხილად
1,ფქვილი
1,ქალია
1,ქატო
3,ყავისფერი
1,ყვება
1,ყვები
3,ყველაზე
1,ყველაფერი
1,ყველა
1,შავ
3,შეგიძლია
1,შეიძლება
1,შემდეგი
1,შემიძლია
1,შენგელაია
6,შენი
1,შენც
26,შენ
1,შეუძლია
1,შვილები
1,შუაში
3,ჩამოდი
2,ჩამოვიღო
2,ჩანს
1,ჩაყო
1,ჩაწერე
2,ჩემია
6,ჩემი
1,ჩვენ
1,ჩიორამ
2,ჩიორაო
1,ჩიორა
6,ჩიტო
9,ჩქარა
3,ცალი
4,ცოტა
2,ცულს
1,ცუნცულასა
1,ცუნცულასო
1,ცხენია
1,ცხენით
5,ცხენი
1,ცხოვრობდა
1,ცხოვრობს
1,ძილი
1,წავიღებ
2,წავიღო
2,წავიყვანო
2,წაიღე
2,წაიყვანე
3,წამოდი
1,წამოვიდა
1,წერია
3,წერს
5,წიგნია
2,წიგნი
2,წიგნში
3,წითელქუდას
2,წითელქუდა
1,წინ
1,ჭკვიანი
1,ხარ
1,ხატია
1,ხდება
3,ხედავ
2,ხელეჩოს
2,ხელი
1,ხელში
1,ხესთან
1,ხეს
3,ხმამაღლა
22,ხო
1,ხსნი
1,ჯერ
1,ჰა
