Freq,Word
11,აბა
1,აბურდა
1,ადამიანო
1,ათი
1,აიღებს
5,აი
2,აკეთებენ
1,აკეთებს
1,აკეთებ
1,ამას
2,ამბები
1,ამბებს
2,ანუ
1,ან
11,არა
11,არის
1,არწივი
15,არ
4,ასე
2,აუ
6,აფრიკაში
2,აქეთ
6,აქვს
3,აქ
1,აღარ
1,აძვერი
5,ახლა
1,აჰა
2,ა
1,ბავშვები
1,ბალახს
5,ბანაკში
2,ბატონო
1,ბილეთებია
1,ბოლომდე
1,ბუზები
1,გააგდო
1,გააგრძელე
1,გააკეთე
1,გააკეთო
1,გაგიშრა
1,გადაიყვანე
1,გადასაფარებელი
1,გადაფარებული
1,გავაკეთოთ
1,გავიგე
1,გაინტერესებს
1,გალიასნაირ
1,გამიკეთე
1,გარდა
1,გაუხარდა
1,გაქვს
1,გაჭმევენ
1,გახვალ
2,გახსოვს
1,გეზარება
1,გეთამაშებიან
1,გეკითხები
1,გერმანელი
4,გერმანიაში
2,გერმანული
1,გეტყობა
1,გვყავს
1,გზაზე
2,გინახავს
3,გინდა
2,გინდოდა
1,გრძელი
1,გყავს
1,დაბოდიალობენ
1,დაგეშალა
1,დაგჩხაპნა
1,დადგეს
1,დადიან
2,დადიოდა
1,დადის
1,დაებანა
5,დავალება
1,დამიხატე
1,დასეირნობ
2,დაწერე
1,დაწერო
2,დაჭერა
3,დახურე
4,დაჯექი
24,და
1,დებილური
3,დიდი
1,დროს
1,დღევანდელი
4,დღეს
1,ეგეთი
1,ეგეთ
1,ეგეც
2,ეგრე
5,ეგ
1,ერთი
2,ერთობი
1,ესეთი
1,ესე
1,ესხდნენ
2,ეს
1,ექვსი
1,ვარ
2,ვეფხვი
2,ვითომ
1,ვილაპარაკოთ
3,ვინ
1,ვირუსი
1,ვისთან
1,ვიცი
2,ვნახეთ
1,ზებრას
1,ზებრა
1,ზებრები
1,ზიხარ
2,ზოლებით
2,ზოლები
3,ზოოპარკია
2,ზოოპარკის
1,ზოოპარკი
3,ზოოპარკში
1,თავი
1,თამაშის
2,თან
3,თეთრი
1,თექვსმეტ
1,თვითმფრინავი
1,თვითონ
1,თვრამეტ
1,თოთხმეტ
1,თორმეტ
7,თუ
1,თქვი
1,იაროს
1,იასთან
1,იგი
1,ითამაშეთ
1,იმიტომ
1,ირაკლიც
1,ისევ
2,ისე
1,ის
1,იქითა
2,იქნება
1,იქ
1,იღებს
1,იღებ
2,იყავით
1,იყვნენ
