Freq,Word
4,აბა
2,აი
1,აკეთებ
1,ამას
1,ანუ
1,არასწორად
2,არა
13,არ
2,ასე
2,აუ
1,აფრინდა
5,ახლა
2,ბევრი
2,გააგორა
1,გააკეთა
1,გააკეთე
1,გააჩენ
4,გააჩინე
1,გააჩინო
1,გაგისწორებ
1,გაიხადე
2,გამოვრთავ
1,გაჩნდეს
1,გახსოვს
2,გეზარება
1,გეხვეწები
2,გინდა
1,გოგოა
1,გოგოები
1,დაგეზარება
1,დაგელოდები
1,დაგისვამ
1,დადე
1,დავგრეხ
1,დავდო
1,დავხუჭავ
1,დაიფარე
1,დამთავრდა
1,დასამთავრებელი
1,დახურე
1,დაჯექი
14,და
1,დებენ
2,დედა
1,დიდი
1,დინოზავრი
1,დროზე
3,დღეს
1,ერთად
2,ეს
1,ვერ
1,ვიდეო
1,ვიზამ
1,ვითომ
1,ვინ
1,ვის
1,ვფიქრობ
1,ზევით
1,ზღაპარია
3,ზღაპარი
1,თავიდან
3,თავი
1,თვალებს
1,თორე
4,თუ
2,იარეს
1,იგორავეს
1,იპოვი
2,ის
1,იქნებოდა
2,იქ
3,იყო
6,იცი
1,იცურავეს
1,იხვის
1,კამერაში
6,კარგი
1,კარი
3,კაცო
1,კაცუნა
1,კვარაცხელია
1,კვერცხებს
1,კვერხები
1,კიდე
1,კი
1,კომბლეს
3,კომბლე
4,მაგაში
3,მათე
1,მალე
2,მანდ
1,მარიამ
2,მარტო
1,მაქვს
2,მაშინ
1,მახინჯი
1,მგელიც
2,მგელი
1,მგელმა
1,მგელს
13,მერე
1,მეჭირება
6,მე
4,მიდი
1,მივუტან
1,მინდა
1,მისცა
6,მოდი
1,მოვიფიქროთ
2,მოვყვეთ
3,მოიტანე
1,მოიცა
6,მომიყევი
1,მონაწილეობს
4,მოყევი
1,მოყვები
1,ნაცარქექიაც
1,ნაცარქექია
1,ნახევარქათამა
1,ნინომ
2,ნინო
1,ოთხი
1,ოქტომბერია
3,ოღონდ
1,ოცდაოთხი
1,პატარაა
1,პატარები
2,რამდენი
1,რამხელა
2,რას
4,რატომ
2,რაღაცები
13,რა
1,რიცხვია
3,რკოს
1,როგორი
1,რომელიც
1,რომელი
4,რომ
6,სად
1,საინტერესო
1,სამი
1,სულ
1,სწორად
3,უთხრა
2,უნდა
1,უფრო
1,ღორი
1,ღორმა
1,ყოფილა
1,შარვალი
1,შარვალს
1,შეგცივდეს
1,შეკითხვებს
1,შემდეგი
3,შენი
5,შენ
1,შეხვდა
1,შვიდი
1,შვილები
1,ჩავუგდებ
1,ჩაიცვა
2,ჩანს
2,ჩანხარ
1,ჩართული
1,ჩაწერაში
1,ჩიტო-ჩიორაა
1,ჩიტო-ჩიორაც
3,ჩიტო-ჩიორა
1,ციკანი
1,ცოტა
1,ძალიან
1,წავიდნენ
1,წამიკითხე
1,წიგნი
1,წინდებიც
1,ჭამა
1,ჭუჭული
1,ხატია
8,ხო
1,ჯერ
1,ჰა
6,ჰო
1,ჰყავდა
