Word,Frequency,Lemma,POS,Gloss,Morphemes
დაიფარე,3,ა/ იფარებს,VERB,covers,და-ი-ფარ-ე
დავიფარო,1,ა/ იფარებს,VERB,covers,და-ვ-ი-ფარ-ო
გამაღვიძო,2,ა/ იღვიძებს ღვიძავს,VERB,wakes up/is woke,გა-მ-ა-ღვიძ-ო
მოგაშორო,1,ა/ იშორებს,VERB,removes/distances,მო-გ-ა-შორ-ო
მოგიშორებიაო,1,ა/ იშორებს,VERB,removes/distances,მო-გ-ი-შორ-ებ-ი-ა-ო
მოვაშოროთ,1,ა/ იშორებს,VERB,removes/distances,მო-ვ-ა-შორ-ო-თ
მოვაშორო,1,ა/ იშორებს,VERB,removes/distances,მო-ვ-ა-შორ-ო
ვიცობთ,1,ა/ იცობს,VERB,fits/stoppers [something] in (like a cork or plug),ვ-ი-ცობ-თ
დავიძინოთ,3,ა/ იძინებს,VERB,falls asleep,და-ვ-ი-ძინ-ო-თ
დაიძინე,2,ა/ იძინებს,VERB,falls asleep,და-ი-ძინ-ე
დაიძინო,2,ა/ იძინებს,VERB,falls asleep,და-ი-ძინ-ო
გამოიძინე,1,ა/ იძინებს,VERB,falls asleep,გამო-ი-ძინ-ე
დააძინო,1,ა/ იძინებს,VERB,falls asleep,და-ა-ძინ-ო
დავიძინებ,1,ა/ იძინებს,VERB,falls asleep,და-ვ-ი-ძინ-ებ
დაიძინეთ-მეთქი,1,ა/ იძინებს,VERB,falls asleep,და-ი-ძინ-ეთ-მეთქი
ჩააჟღვინტე,1,ა/ ჟღვინტავს,VERB,wipes booger,ჩა-ა-ჟღვინტ-ე
ჩააჟღვლინტე,1,ა/ ჟღვინტავს,VERB,wipes booger,ჩა-ა-ჟღვლინტ-ე
მოტრიალდი,3,ა/ ტრიალებს ტრიალდება,VERB,spins/turns,მო-ტრიალ-დ-ი
გადმოატრიალე,2,ა/ ტრიალებს ტრიალდება,VERB,spins/turns,გადმო-ა-ტრიალ-ე
შემოატრიალე,2,ა/ ტრიალებს ტრიალდება,VERB,spins/turns,შემო-ა-ტრიალ-ე
გადმოატრიალებ,1,ა/ ტრიალებს ტრიალდება,VERB,spins/turns,გადმო-ა-ტრიალ-ებ
დაატრიალე,1,ა/ ტრიალებს ტრიალდება,VERB,spins/turns,და-ა-ტრიალ-ე
დაატრიალოო,1,ა/ ტრიალებს ტრიალდება,VERB,spins/turns,და-ა-ტრიალ-ო-ო
ამოვიყვან,4,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,ამო-ვ-ი-ყვან
გადავიყვან,3,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,გადა-ვ-ი-ყვან
მიგყავს,2,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,მი-გ-ყავ-ს
მიიყვანე,2,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,მი-ი-ყვან-ე
წავიყვანოთ,2,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,წა-ვ-ი-ყვან-ო-თ
წამოუყვანე,2,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,წამო-უ-ყვან-ე
ამიყვანეო,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,ა-მ-ი-ყვან-ე-ო
ამოუყვანა,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,ამო-უ-ყვან-ა
გადაიყვანე,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,გადა-ი-ყვან-ე
გვყავდა,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,გვ-ყავ-დ-ა
მიჰყავს,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,მი-ჰ-ყავ-ს
მოიყვანე,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,მო-ი-ყვან-ე
მოყავს,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,მო-ყავ-ს
ჩაგყავს,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,ჩა-გ-ყავ-ს
ჩაიყვანე,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,ჩა-ი-ყვან-ე
წაგიყვანა,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,წა-გ-ი-ყვან-ა
წამოიყვანო,1,ა/გა/შე/მი/და/ მოჰყავს,VERB,brings/leads,წამო-ი-ყვან-ო
მოიტანე,20,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-ი-ტან-ე
მოვიტან,12,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-ვ-ი-ტან
მომიტანე,8,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-მ-ი-ტან-ე
მოგიტანო,6,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-გ-ი-ტან-ო
წამოიღე,6,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,წამო-ი-ღ-ე
წაიღე,5,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,წა-ი-ღ-ე
მივუტან,4,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მი-ვ-უ-ტან
მოგაქვს,4,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-გ-ა-ქვ-ს
მოგიტან,4,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-გ-ი-ტან
მოვიტანო,4,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-ვ-ი-ტან-ო
მივიტანო,3,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მი-ვ-ი-ტან-ო
მოგიტანე,3,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-გ-ი-ტან-ე
მოვიტანე,3,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-ვ-ი-ტან-ე
მოგიტანიაო,2,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-გ-ი-ტან-ი-ა-ო
მომაქვს,2,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-მ-ა-ქვ-ს
წავიღებ,2,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,წა-ვ-ი-ღ-ებ
წავიღო,2,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,წა-ვ-i-ღ-ო
წაიღო,2,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,წა-ი-ღ-ო
გადმოვიტანოთ,1,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,გადმო-ვ-ი-ტან-ო-თ
მიიტანე,1,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მი-ი-ტან-ე
მოგიტანეს,1,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-გ-ი-ტან-ეს
მოვიტანოთ,1,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-ვ-ი-ტან-ო-თ
მოიტანს,1,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-ი-ტან-ს
მოიტან,1,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-ი-ტან
მომიტანა,1,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-მ-ი-ტან-ა
მომიტანს,1,ა/გადა/გა/ მოაქვს წაიღო მოიტანს,VERB,brings/brought/will bring,მო-მ-ი-ტან-ს
